5263555,-0.41,-6.58
5287283,-0.82,-17.32
5324734,-1.23,-10.97
5424736,-1.23,0.0
5493857,-0.82,5.95
5515411,-0.41,19.07
5541712,0.41,31.25
5568655,1.23,30.51
5598543,2.05,27.50
5698547,2.05,0.0
5766501,2.47,6.05
5866504,2.47,0.0
5907958,2.88,9.91
5950598,2.47,-9.64
6025882,2.88,5.46
6125885,2.88,0.0
6553519,2.47,-14.87
6653522,2.47,0.0
6716392,2.88,6.54
6781589,3.29,6.30
6812987,4.11,26.18
6835316,4.93,36.81
6858781,5.75,35.03
6892553,6.58,24.34
6957406,6.16,-6.34
6993136,5.75,-11.50
7036466,6.16,9.48
7136469,6.16,0.0
7811503,5.75,-5.48
7845505,5.34,-12.09
7875869,4.93,-13.53
7899115,4.52,-17.68
7922459,3.70,-35.21
7943996,2.47,-57.24
7965183,0.82,-77.59
7990323,-0.82,-65.39
8030280,-0.82,0.00
8062736,-0.41,12.66
8085551,0.00,18.01
8185554,0.00,0.0
9623687,0.00,0.00
9655303,0.82,26.00
9679328,1.64,34.21
9705303,2.47,31.64
9732067,3.29,30.71
9752750,4.11,39.74
9852754,4.11,0.0
9880868,4.93,29.23
9936008,4.93,0.00
10036012,4.93,0.0
10981772,4.11,-17.97
11016830,4.52,11.72
11046425,4.93,13.89
11066983,5.75,39.98
11092401,7.40,64.67
11114585,8.63,55.57
11143896,8.22,-14.02
11175820,7.40,-25.75
11208915,6.58,-24.83
11240020,6.16,-13.21
11340024,6.16,0.0
11898134,6.58,7.07
11919544,7.40,38.39
11940561,8.22,39.11
11989042,9.04,16.95
12089043,9.04,0.0
12929723,8.63,-10.11
12965409,9.04,11.52
13001706,9.86,22.64
13077611,10.68,10.83
13160942,10.27,-4.93
13197620,9.86,-11.20
13297624,9.86,0.0
14421419,10.68,34.58
14444112,11.92,54.33
14467260,13.97,88.77
14490805,16.03,87.27
14512371,17.26,57.17
14566538,17.26,0.00
14606199,16.85,-10.36
14706201,16.85,0.0
15671933,17.26,6.25
15755871,16.85,-4.90
16379805,17.26,17.18
16407872,17.67,14.64
16441042,18.49,24.78
16467810,19.31,30.70
16562535,18.90,-4.34
16662536,18.90,0.0
17743285,18.49,-5.09
17843289,18.49,0.0
17893501,18.08,-8.18
17993503,18.08,0.0
19116177,19.31,54.43
19136968,21.37,98.83
19160709,23.42,86.55
19181107,24.66,60.44
19207075,25.48,31.65
19249578,25.07,-9.67
19286199,24.66,-11.22
19322668,24.25,-11.27
19422669,24.25,0.0
20349645,24.66,15.24
20405705,25.07,7.33
20458134,25.48,7.84
20555310,25.07,-4.23
20655314,25.07,0.0
21050061,25.48,4.34
21070924,27.53,98.49
21092277,31.64,192.46
21114752,35.75,182.85
21137163,38.63,128.36
21161226,40.68,85.39
5263555,-0.41,
5287283,-0.82,
5324734,-1.23,
5493857,-0.82,
5515411,-0.41,
5529435,-0.00,
5541712,0.41,
5554780,0.82,
5568655,1.23,
5583360,1.64,
5598543,2.05,
5617475,2.47,
5712084,2.88,
5766501,2.47,
5907958,2.88,
5950598,2.47,
6025882,2.88,
6553519,2.47,
6716392,2.88,
6781589,3.29,
6800157,3.70,
6812987,4.11,
6824610,4.52,
6835316,4.93,
6846907,5.34,
6858781,5.75,
6872195,6.16,
6892553,6.58,
6957406,6.16,
6993136,5.75,
7036466,6.16,
7811503,5.75,
7845505,5.34,
7875869,4.93,
7899115,4.52,
7912787,4.11,
7922459,3.70,
7930547,3.29,
7937765,2.88,
7943996,2.47,
7949586,2.05,
7954858,1.64,
7959978,1.23,
7965183,0.82,
7970785,0.41,
7976662,0.00,
7983002,-0.41,
7990323,-0.82,
7999837,-1.23,
8030280,-0.82,
8062736,-0.41,
8085551,0.00,
9497233,-0.41,
9623687,0.00,
