108223818,39.45,0.00
108263417,40.27,20.76
108310750,40.68,8.68
108410753,40.68," 0.0"
117141132,40.27,-13.61
117241134,40.27," 0.0"
164804004,39.86,-6.64
164904005,39.86," 0.0"
164941660,39.45,-10.91
165041661,39.45," 0.0"
830564414,22.19,-6.66
830620524,21.78,-7.32
830666665,22.19,8.91
830690798,23.01,34.06
830712200,23.84,38.40
830732420,24.66,40.65
830752493,25.48,40.95
830772554,26.30,40.97
830798168,27.12,32.09
830823259,28.36,49.14
830846834,30.00,69.73
830869660,32.05,90.02
830891395,34.11,94.54
830913503,35.75,74.35
830939524,36.99,47.38
830988718,36.57,-8.35
831018395,35.34,-41.54
831044865,34.52,-31.05
831065782,33.29,-58.94
831086140,31.64,-80.74
831107821,29.59,-94.77
831128438,27.53,-99.66
831151975,25.07,-104.76
831174221,22.60,-110.84
831197260,20.14,-107.02
831221494,18.49,-67.83
831250104,18.08,-14.36
831297791,18.49,8.62
831397793,18.49," 0.0"
832366061,18.90,6.02
832390812,19.31,16.60
832413551,20.96,72.29
832435467,23.01,93.76
832457198,25.07,94.55
832480593,27.53,105.39
832504467,30.00,103.28
832525676,32.05,96.88
832548691,33.70,71.42
832571065,34.93,55.10
832596013,36.16,49.42
832620049,37.40,51.29
832645187,38.63,49.04
832678220,39.45,24.88
832712115,40.27,24.25
832739278,41.09,30.26
832762191,41.92,35.87
832784788,42.74,36.37
832812222,43.97,44.94
832836302,45.20,51.20
832856878,46.44,59.92
832884104,48.08,60.38
832906717,49.31,54.52
832928941,50.55,55.47
832952221,51.78,52.96
832977787,53.01,48.22
833005036,54.25,45.24
833028670,55.07,34.78
833055259,55.89,30.91
833077315,56.71,37.26
833098529,57.53,38.74
833119997,58.35,38.28
833140089,59.18,40.91
833169353,60.41,42.13
833198535,61.64,42.25
833218712,62.46,40.73
833239537,63.29,39.47
833261604,64.11,37.25
833283973,64.93,36.74
833307953,65.75,34.27
833331456,66.57,34.97
833353873,67.40,36.66
833380789,68.63,45.80
833405966,69.86,48.97
833430977,71.09,49.29
833452078,72.33,58.43
833472702,73.56,59.78
833492726,74.79,61.57
833518587,76.44,63.56
833539046,77.67,60.26
833560790,78.90,56.70
833585134,80.14,50.64
833615150,81.37,41.07
833637897,82.19,36.13
833659097,83.01,38.77
833687817,84.24,42.93
833716700,85.48,42.68
833746403,86.71,41.51
833766678,87.53,40.54
833787866,88.35,38.79
833809498,89.18,37.99
833837356,90.41,44.25
833864809,91.64,44.91
833891479,92.87,46.23
833915632,94.11,51.04
833938654,95.34,53.55
833966534,96.57,44.22
833990715,97.40,33.99
834058582,97.40,0.00
834158585,97.40," 0.0"
835097971,97.40,0.00
835147490,96.98,-8.30
835170435,96.57,-17.91
835240875,96.16,-5.83
835274979,95.34,-24.10
835336741,95.75,6.65
835373072,96.57,22.62
835451478,96.98,5.24
835484375,97.81,24.98
835514183,98.22,13.79
835614185,98.22," 0.0"
836099211,97.81,-4.83
836199213,97.81," 0.0"
836985781,98.22,4.75
837007933,98.63,18.55
837029694,99.04,18.88
837058429,99.86,28.60
837091363,100.68,24.96
837190262,100.27,-4.16
837290263,100.27," 0.0"
838375925,100.68,4.80
838475926,100.68," 0.0"
838562325,101.09,4.76
838601340,101.50,10.53
838654825,101.09,-7.68
838682912,100.27,-29.26
838726307,99.45,-18.94
838751253,99.04,-16.47
838781535,98.63,-13.57
838881536,98.63," 0.0"
838908165,99.45,30.86
838945391,100.27,22.08
838966169,100.68,19.78
839000823,101.50,23.72
839100824,101.50," 0.0"
839595883,101.09,-4.32
839695885,101.09," 0.0"
840127522,100.68,-12.99
840179547,101.09,7.90
840199702,102.33,61.17
840221449,105.20,132.28
840243876,108.08,128.27
840264607,110.55,118.94
840288076,113.42,122.57
840312017,115.89,102.99
840338867,117.94,76.53
840399168,118.35,6.81
840425154,117.53,-31.63
840445299,116.30,-61.20
840465954,114.65,-79.58
840489067,112.60,-88.90
840512716,110.55,-86.89
840537659,108.90,-65.90
840634530,108.90,0.00
840691934,108.49,-7.16
840718563,108.08,-15.43
840818567,108.08," 0.0"
840856194,106.85,-32.77
840956198,106.85," 0.0"
840992285,107.26,11.39
841012999,108.08,39.68
